record_id,date,year,month,week_of_year,weekly_tourist_arrivals,mount_siguniang_search,hotel_at_mount_siguniang_search,where_is_mount_siguniang_search,mount_siguniang_weather_search,mount_siguniang_travel_guide_search,mount_siguniang_travel_search,mount_siguniang_travel_strategy_search,mount_siguniang_altitude_search,tickets_to_mount_siguniang_search,ctrip_avg_rating,ctrip_review_volume,qunar_avg_rating,qunar_review_volume,dianping_avg_rating,dianping_review_volume,max_temperature_c,min_temperature_c,tourism_revenue,avg_tourist_spending,accommodation_demand,transport_demand,hotel_capacity,transport_capacity,staff_available,attraction_capacity,resource_utilization_rate_pct,allocation_priority,management_decision
12,2016-01-15,2016,1,2,39387,17069,987,2071,5960,221,456,4536,1818,1307,1.57,6,0.91,0,3.05,11,14.59,-3.22,36406498.45,924.33,28007,27830,8138,12474,202,56777,69.37,High,Peak-Demand Allocation
13,2016-01-16,2016,1,2,35763,14653,1145,1533,6992,1210,763,4534,1610,1766,0.41,2,0.0,0,4.95,6,17.16,-0.35,33951399.78,949.34,16282,31116,6824,22067,247,29264,100.0,Critical,Emergency Allocation
14,2016-01-17,2016,1,2,38448,18443,79,4264,6493,545,810,4480,2397,625,2.79,2,1.01,0,4.18,9,11.49,-2.79,35812290.9,931.45,22974,28136,25722,32555,185,35888,100.0,Critical,Emergency Allocation
15,2016-01-18,2016,1,3,36391,16210,1129,3319,5544,630,522,6183,808,1813,1.87,5,0.58,0,3.53,5,14.59,-0.41,29310154.5,805.42,14307,28204,10034,10497,384,57421,63.38,Medium,Increase Resources
16,2016-01-19,2016,1,3,32366,11641,719,2580,4200,408,652,3881,2231,988,1.56,1,0.48,0,4.3,5,18.64,-2.07,23811682.48,735.7,20794,19396,27293,33453,458,20718,100.0,Critical,Emergency Allocation
17,2016-01-20,2016,1,3,42055,16014,983,2843,5276,273,533,6438,1334,2011,2.54,5,0.0,0,3.35,7,15.26,1.13,34508407.63,820.55,17012,27746,6788,35082,669,16971,100.0,Critical,Emergency Allocation
18,2016-01-21,2016,1,3,28226,11441,846,2434,4840,749,416,4145,2024,742,4.53,5,0.0,1,3.65,7,18.51,5.84,21212810.48,751.53,15455,19517,14156,34991,580,18574,100.0,Critical,Emergency Allocation
19,2016-01-22,2016,1,3,36690,17946,1112,1609,5333,170,386,4988,1377,1566,3.12,3,0.24,1,4.04,6,17.67,0.67,25126148.26,684.82,23497,18126,13737,36123,465,18494,100.0,Critical,Emergency Allocation
20,2016-01-23,2016,1,3,30069,14770,772,3565,6828,650,1015,5211,2095,665,1.7,4,0.0,0,4.9,5,18.79,2.1,17200981.16,572.05,19080,20998,14800,20857,392,53336,56.38,Medium,Increase Resources
21,2016-01-24,2016,1,3,33333,14371,336,3427,4980,1240,471,3383,2643,699,2.72,6,0.92,0,4.99,14,16.38,6.1,25489154.87,764.68,13016,23448,24102,9383,767,46262,72.05,High,Peak-Demand Allocation
22,2016-01-25,2016,1,4,30236,12707,693,1037,1900,953,778,4484,1907,2052,2.4,2,1.3,0,3.42,8,13.61,0.08,26704409.34,883.2,11761,25148,25793,36597,599,59767,50.59,Medium,Increase Resources
23,2016-01-26,2016,1,4,44188,19442,871,2925,6678,766,728,2018,1801,824,2.17,6,0.76,0,5.0,6,17.05,1.29,33389907.42,755.63,30862,21494,17882,22239,269,48790,90.57,Critical,Emergency Allocation
24,2016-01-27,2016,1,4,33695,14694,671,3033,5986,316,384,4387,1455,1273,3.28,5,0.33,0,3.82,6,18.94,2.46,22102990.09,655.97,19555,16448,11566,25006,753,57357,58.75,Medium,Increase Resources
25,2016-01-28,2016,1,4,30829,13806,920,2488,5572,684,744,4357,2139,711,2.71,2,1.25,0,5.0,6,20.71,1.68,23549167.22,763.86,12563,17392,19563,17132,122,46403,66.44,High,Peak-Demand Allocation
26,2016-01-29,2016,1,4,25112,14144,721,4558,3220,432,719,5086,2819,1201,2.46,4,0.0,0,3.63,8,15.92,6.77,21379180.73,851.35,9529,12269,8635,8297,464,45696,54.95,Medium,Increase Resources
27,2016-01-30,2016,1,4,36800,17309,577,4480,3867,1220,653,4121,2027,2007,4.25,6,0.71,0,3.87,2,17.49,0.48,25047655.66,680.64,25645,24249,25955,17729,660,25476,100.0,Critical,Emergency Allocation
28,2016-01-31,2016,1,4,38287,16795,444,2482,4108,555,566,7011,3143,1315,3.93,7,0.47,0,2.3,6,17.57,2.79,30267774.18,790.55,14945,28066,11150,20330,433,46080,83.09,High,Peak-Demand Allocation
29,2016-02-01,2016,2,5,26621,17029,643,2628,4376,450,665,1813,1914,995,1.68,3,0.88,0,4.25,7,22.86,7.01,24506731.91,920.58,10776,14836,9617,37006,638,24536,100.0,Critical,Emergency Allocation
30,2016-02-02,2016,2,5,31919,17161,814,2541,4575,654,774,2625,3557,1058,1.47,8,0.0,0,3.06,5,18.6,4.36,20946551.25,656.24,16851,22624,29824,29004,236,18835,100.0,Critical,Emergency Allocation
31,2016-02-03,2016,2,5,42866,23216,212,2324,3360,462,484,2978,661,1173,3.03,4,1.33,0,4.71,8,19.88,2.09,38323131.52,894.02,27553,30365,22765,34678,521,41925,100.0,Critical,Emergency Allocation
32,2016-02-04,2016,2,5,42545,14365,546,2075,9390,823,993,4379,1732,1248,2.79,6,0.63,0,3.74,7,19.84,3.06,31531016.58,741.12,20776,31868,12520,28440,237,46982,90.56,Critical,Emergency Allocation
33,2016-02-05,2016,2,5,31447,14061,210,3302,8250,1382,832,3296,1533,1397,2.52,11,0.48,0,3.64,6,13.98,5.73,31259741.21,994.05,22578,17419,25245,39505,603,23573,100.0,Critical,Emergency Allocation
34,2016-02-06,2016,2,5,37594,13071,600,4551,6074,752,155,2734,2088,1561,1.22,3,0.0,1,3.33,12,20.45,0.33,31416534.56,835.68,21693,20573,6032,19504,474,56852,66.13,High,Peak-Demand Allocation
35,2016-02-07,2016,2,5,45147,18140,1112,4214,5544,431,639,3759,2618,997,2.0,6,0.93,0,3.31,11,19.58,8.62,37562542.87,832.01,30083,36183,18850,10762,749,25378,100.0,Critical,Emergency Allocation
36,2016-02-08,2016,2,6,47672,20000,449,3581,8920,704,1160,2332,4119,1495,3.39,3,0.27,0,2.98,6,17.48,5.34,34790312.76,729.79,23257,31690,26938,13808,796,23912,100.0,Critical,Emergency Allocation
37,2016-02-09,2016,2,6,41258,15713,982,945,8584,319,774,5111,2278,591,2.79,7,1.03,0,3.97,7,25.68,6.83,31626024.91,766.54,17267,20919,15250,28979,657,29020,100.0,Critical,Emergency Allocation
38,2016-02-10,2016,2,6,32687,13234,1586,1350,4357,1774,539,5050,2852,1347,0.0,3,0.42,0,3.57,8,24.22,4.78,31779157.4,972.23,23682,20474,25391,14124,694,15415,100.0,Critical,Emergency Allocation
39,2016-02-11,2016,2,6,29989,13351,1199,3852,6162,1403,843,2711,1613,974,0.8,14,0.42,0,3.2,8,21.46,5.47,24988454.68,833.25,16641,16346,8107,37274,454,26975,100.0,Critical,Emergency Allocation
40,2016-02-12,2016,2,6,36505,18575,833,4336,5415,1214,239,5944,2001,1212,2.75,12,0.4,0,4.26,5,21.26,6.63,30403500.92,832.86,19333,22898,21414,19987,170,33993,100.0,Critical,Emergency Allocation
41,2016-02-13,2016,2,6,40645,18959,1040,3442,5285,1044,768,2660,2753,1492,1.9,6,0.07,1,3.49,7,24.86,7.35,37116400.71,913.18,15720,23980,16852,23391,711,37315,100.0,Critical,Emergency Allocation
42,2016-02-14,2016,2,6,45479,18318,420,2724,5499,728,602,3875,1116,1842,4.61,4,0.05,0,5.0,10,24.05,10.99,29484447.42,648.31,31985,38260,15608,29079,408,52204,87.12,Critical,Emergency Allocation
43,2016-02-15,2016,2,7,29835,14146,366,4145,5668,740,725,5046,1405,1188,1.95,14,0.0,0,3.85,10,20.67,8.0,28981889.4,971.41,11045,25740,7406,37119,646,33057,90.25,Critical,Emergency Allocation
44,2016-02-16,2016,2,7,45918,17346,818,3647,6227,717,426,4828,2331,1444,3.27,4,1.02,0,3.26,4,21.93,7.96,43828087.7,954.49,19152,25074,8050,21169,733,43823,100.0,Critical,Emergency Allocation
45,2016-02-17,2016,2,7,40873,16998,925,3985,6263,1630,627,2407,2157,1389,2.27,6,0.79,1,4.28,8,23.38,6.37,27417461.05,670.8,28191,21026,9579,9522,299,19938,100.0,Critical,Emergency Allocation
46,2016-02-18,2016,2,7,47877,17411,1124,1451,8487,735,150,5441,2452,605,3.36,4,0.0,0,4.7,11,20.23,9.3,37810814.09,789.75,32527,41566,23880,11477,662,38140,100.0,Critical,Emergency Allocation
47,2016-02-19,2016,2,7,42900,19751,661,3332,4470,609,592,4723,1036,1426,3.92,7,1.29,1,5.0,7,26.0,6.24,40752665.91,949.95,28088,25238,27832,32426,126,33384,100.0,Critical,Emergency Allocation
48,2016-02-20,2016,2,7,46475,17537,878,4559,7687,773,757,7657,2050,2141,3.04,4,0.96,0,4.0,8,24.34,8.79,39737580.95,855.03,28477,38402,9844,29106,641,35243,100.0,Critical,Emergency Allocation
49,2016-02-21,2016,2,7,39434,19184,872,3510,4035,995,979,5729,2123,1710,3.03,7,1.12,0,3.89,2,21.3,7.87,29602449.96,750.68,26067,20848,17923,18053,249,24349,100.0,Critical,Emergency Allocation
50,2016-02-22,2016,2,8,39810,17096,794,3878,6419,0,1279,7062,2467,1178,1.77,4,0.35,0,4.24,7,26.0,4.64,26397159.31,663.08,15423,28367,11611,16138,369,22472,100.0,Critical,Emergency Allocation
51,2016-02-23,2016,2,8,46243,17923,813,3113,7894,959,559,3463,2966,1176,2.33,1,0.01,0,4.67,4,21.51,9.87,39666176.69,857.78,25462,25876,28271,39416,165,44756,100.0,Critical,Emergency Allocation
52,2016-02-24,2016,2,8,41655,19170,597,3182,7062,0,854,2529,2372,1120,3.18,4,0.0,1,3.63,8,25.5,5.84,31770789.98,762.71,16836,34096,7765,30667,798,35062,100.0,Critical,Emergency Allocation
53,2016-02-25,2016,2,8,24589,11910,918,4294,5490,1344,671,6903,1523,1612,3.21,3,0.01,0,4.33,3,21.83,11.43,21125831.31,859.16,18024,21564,20607,16894,277,56282,43.69,Medium,Increase Resources
54,2016-02-26,2016,2,8,37202,15939,897,2542,6594,228,682,5456,2596,1384,2.87,8,0.77,0,4.31,9,22.03,9.65,23287532.17,625.98,20176,18520,19704,20533,520,16297,100.0,Critical,Emergency Allocation
55,2016-02-27,2016,2,8,45841,15458,722,2468,9076,554,770,7694,1047,773,3.04,7,1.42,0,4.08,7,24.42,10.0,49290867.91,1075.26,24727,30333,28926,37719,337,43705,100.0,Critical,Emergency Allocation
56,2016-02-28,2016,2,8,39858,14914,1034,2724,5057,168,718,6656,2441,1639,3.95,5,0.99,0,4.83,8,23.8,4.04,35550652.94,891.93,20606,22822,23325,32969,503,38039,100.0,Critical,Emergency Allocation
57,2016-02-29,2016,2,9,42723,16232,1139,3159,7162,1472,1166,6589,2737,1594,2.4,7,1.02,1,3.8,9,23.73,11.43,35222195.16,824.43,16746,34885,29131,35151,121,31441,100.0,Critical,Emergency Allocation
58,2016-03-01,2016,3,9,52909,22471,1043,1779,7899,841,692,5688,2334,1376,2.98,10,0.3,0,5.0,4,24.33,6.02,40777453.04,770.71,37134,42661,19558,36034,679,28326,100.0,Critical,Emergency Allocation
59,2016-03-02,2016,3,9,32593,14251,564,3778,5482,1627,508,3736,2879,1465,2.52,7,0.31,0,4.29,8,26.0,3.03,24508908.42,751.97,21326,25905,7896,8407,684,56856,57.33,Medium,Increase Resources
60,2016-03-03,2016,3,9,46276,20712,886,3025,9323,1547,803,3520,1403,1046,3.64,2,0.73,1,3.04,8,26.0,9.76,35236419.81,761.44,30968,35072,18047,14792,328,32717,100.0,Critical,Emergency Allocation
61,2016-03-04,2016,3,9,31117,11473,606,3898,9949,1291,528,2012,4101,1990,2.85,7,0.02,0,2.92,6,26.0,3.83,22392241.01,719.61,11420,17603,24900,17604,189,39619,78.54,High,Peak-Demand Allocation
62,2016-03-05,2016,3,9,37882,16230,890,1379,8203,366,686,4282,1714,808,1.66,5,1.31,0,4.4,6,26.0,9.89,36689307.23,968.52,13971,22239,13592,14904,405,53161,71.26,High,Peak-Demand Allocation
63,2016-03-06,2016,3,9,34193,18010,612,3917,8224,917,1002,5067,458,1375,3.06,11,0.48,0,3.44,5,23.73,8.81,27913551.24,816.35,18117,30160,22717,14234,628,35890,95.27,Critical,Emergency Allocation
64,2016-03-07,2016,3,10,47951,19529,1226,4332,3156,1340,716,4946,1458,1406,3.57,8,0.31,0,3.84,9,22.83,4.67,43444129.39,906.01,26061,28195,25534,25616,663,20785,100.0,Critical,Emergency Allocation
65,2016-03-08,2016,3,10,48390,20002,1090,3575,3906,1001,887,5135,4624,1249,2.11,5,0.0,0,3.42,13,26.0,8.88,33795619.45,698.4,20452,34933,29333,29628,481,32404,100.0,Critical,Emergency Allocation
66,2016-03-09,2016,3,10,44092,20324,1195,3235,6147,738,729,1931,3247,1431,3.48,4,0.8,0,4.56,13,24.07,10.5,36411758.29,825.81,16245,20493,25233,17526,256,29700,100.0,Critical,Emergency Allocation
67,2016-03-10,2016,3,10,38699,16360,1169,3951,5129,993,834,5433,1484,1012,3.05,6,0.0,0,2.73,7,22.83,11.43,37029232.55,956.85,26746,20112,14270,27560,567,28436,100.0,Critical,Emergency Allocation
68,2016-03-11,2016,3,10,43145,15994,801,4303,7454,1029,625,7442,3320,1187,3.85,9,1.23,0,4.53,10,21.69,7.88,35655442.68,826.41,29688,19453,18816,9707,376,26076,100.0,Critical,Emergency Allocation
69,2016-03-12,2016,3,10,33503,20646,759,3673,1216,357,959,3967,3403,1027,1.54,2,0.8,0,2.94,9,24.44,11.43,29795985.55,889.35,18729,26083,9116,11571,744,59792,56.03,Medium,Increase Resources
70,2016-03-13,2016,3,10,41153,17003,1368,3743,7469,678,492,3021,1360,1345,4.88,3,1.52,0,4.1,10,21.26,11.43,41658151.87,1012.27,21155,32339,26465,32843,681,30569,100.0,Critical,Emergency Allocation
71,2016-03-14,2016,3,11,42059,13236,835,4649,6051,1107,607,2823,3369,1988,1.9,2,0.0,0,4.49,12,26.0,9.4,33486162.02,796.17,21215,32280,22368,8980,739,46552,90.35,Critical,Emergency Allocation
72,2016-03-15,2016,3,11,33509,13762,504,3893,5404,1186,803,4245,2148,1632,2.26,5,0.41,0,5.0,3,22.17,8.58,25326830.41,755.82,24316,23829,18262,27418,721,41592,80.57,High,Peak-Demand Allocation
73,2016-03-16,2016,3,11,38790,14536,1167,2571,9823,967,968,4639,2985,919,1.87,8,0.0,1,4.59,10,26.0,7.67,36209714.29,933.48,24542,25572,7877,21622,572,37358,100.0,Critical,Emergency Allocation
74,2016-03-17,2016,3,11,48335,19519,927,4332,5847,741,834,5494,3186,1326,2.11,4,0.38,1,4.37,6,26.0,11.21,36363888.75,752.33,18775,26568,13161,22940,512,44349,100.0,Critical,Emergency Allocation
75,2016-03-18,2016,3,11,37560,18300,1310,3155,3502,819,902,6375,3172,1419,1.48,9,0.64,0,5.0,9,24.98,9.17,28959726.99,771.03,20985,25714,18004,36123,345,48331,77.71,High,Peak-Demand Allocation
76,2016-03-19,2016,3,11,46720,20241,957,3293,7244,623,522,3778,2322,1167,0.73,11,0.79,0,4.21,4,20.53,10.27,30429532.65,651.32,27241,32745,24810,14426,536,38798,100.0,Critical,Emergency Allocation
77,2016-03-20,2016,3,11,41609,16349,885,3360,7119,852,722,4457,1859,1253,2.55,7,0.0,0,3.7,6,26.0,11.43,37379827.28,898.36,24409,25819,10148,9526,574,40125,100.0,Critical,Emergency Allocation
78,2016-03-21,2016,3,12,47654,18419,1319,4096,6127,1188,845,2780,2873,1954,4.69,7,0.28,0,3.7,10,25.71,11.43,40984191.12,860.04,24470,36797,17364,29000,551,30200,100.0,Critical,Emergency Allocation
79,2016-03-22,2016,3,12,45215,20072,462,4763,10680,1741,806,6102,3097,760,3.73,5,0.43,0,4.17,11,26.0,11.43,35224532.29,779.05,19879,36908,27074,38942,264,52789,85.65,Critical,Emergency Allocation
80,2016-03-23,2016,3,12,36547,16817,730,3301,6833,471,556,4666,2834,1610,2.31,7,2.06,0,3.38,9,22.54,8.69,30810155.6,843.03,24820,25845,10108,27396,308,27693,100.0,Critical,Emergency Allocation
81,2016-03-24,2016,3,12,51881,19514,646,4755,8289,1337,610,4897,2439,716,3.87,9,0.0,0,4.0,5,26.0,8.66,48188471.94,928.83,31448,36096,20347,17320,695,23028,100.0,Critical,Emergency Allocation
82,2016-03-25,2016,3,12,38815,15613,281,3426,7050,1029,767,7216,2993,1561,2.06,8,0.94,0,3.04,14,20.34,7.73,23042142.71,593.64,14921,18040,29747,39903,161,18888,100.0,Critical,Emergency Allocation
83,2016-03-26,2016,3,12,50520,16672,1141,4480,8761,335,961,5419,1268,1099,1.29,6,1.04,0,4.08,14,22.07,11.43,46396268.93,918.37,31356,31915,6171,29823,191,58876,85.81,Critical,Emergency Allocation
84,2016-03-27,2016,3,12,43267,16618,741,3459,5884,862,1259,7804,3041,1702,4.91,6,0.35,0,3.4,6,26.0,10.99,33224749.34,767.9,21752,26248,15285,8882,395,47673,90.76,Critical,Emergency Allocation
85,2016-03-28,2016,3,13,36056,13779,1151,2874,4570,834,558,6389,2341,2232,4.08,5,0.12,0,3.27,6,23.1,11.43,30419165.17,843.66,17943,32269,13026,14760,713,20497,100.0,Critical,Emergency Allocation
86,2016-03-29,2016,3,13,50468,19678,1007,4928,7867,898,810,4629,3329,1426,5.0,11,1.05,1,2.99,11,26.0,11.43,35348350.15,700.41,31282,37872,13985,34802,588,41880,100.0,Critical,Emergency Allocation
87,2016-03-30,2016,3,13,42000,16338,1069,2797,7030,1265,575,3600,2617,1982,0.01,7,1.07,0,3.26,6,26.0,7.87,33737338.36,803.27,23242,27765,29922,11139,740,54169,77.54,High,Peak-Demand Allocation
88,2016-03-31,2016,3,13,52165,18031,772,2741,7926,1590,794,5038,2950,1726,3.0,5,0.0,0,4.07,5,26.0,11.43,52008869.13,997.01,29149,29198,21826,35034,515,24909,100.0,Critical,Emergency Allocation
89,2016-04-01,2016,4,13,38321,19675,686,2231,5387,1353,715,6809,2936,1633,4.61,5,0.98,0,4.79,8,26.0,11.43,32001912.73,835.1,28207,30405,18219,24348,281,30674,100.0,Critical,Emergency Allocation
90,2016-04-02,2016,4,13,49172,19559,925,4376,7363,974,890,3196,2220,1030,3.41,11,0.66,0,3.65,5,23.33,11.43,40297778.59,819.53,19760,31764,8001,29146,439,32827,100.0,Critical,Emergency Allocation
91,2016-04-03,2016,4,13,40621,20328,1157,4578,3630,1013,363,4374,1937,1894,2.72,5,0.08,0,5.0,11,26.0,11.43,25113990.61,618.25,25397,34588,24564,19527,174,55556,73.12,High,Peak-Demand Allocation
92,2016-04-04,2016,4,14,46481,17655,886,3617,5636,1628,727,4036,3202,1621,2.78,6,0.16,0,3.04,5,25.72,11.43,38755054.82,833.78,29477,37362,21691,37930,615,31211,100.0,Critical,Emergency Allocation
93,2016-04-05,2016,4,14,37139,16518,703,2464,5231,529,824,4650,2743,1033,3.06,9,0.37,1,5.0,9,26.0,11.43,28329768.75,762.8,24116,24915,13764,24421,286,57982,64.05,Medium,Increase Resources
94,2016-04-06,2016,4,14,40299,17719,564,3294,7392,1335,845,5881,2707,1082,2.92,9,0.25,0,3.8,6,26.0,8.43,33083446.27,820.95,17757,32189,25418,29696,359,40918,98.49,Critical,Emergency Allocation
95,2016-04-07,2016,4,14,37188,12090,957,3042,5626,498,872,5582,3191,1228,5.0,6,0.75,0,1.69,9,26.0,11.43,27346417.33,735.36,23279,26632,7523,26339,434,44358,83.84,High,Peak-Demand Allocation
96,2016-04-08,2016,4,14,32879,12926,744,2422,4025,365,834,5550,2963,1102,3.9,9,1.96,0,4.1,2,26.0,6.98,21235299.69,645.86,22144,25088,28164,25223,549,25489,100.0,Critical,Emergency Allocation
97,2016-04-09,2016,4,14,29016,13356,879,2882,5471,1120,1076,3191,3518,1393,2.93,7,0.61,1,2.13,8,20.95,8.69,22734229.0,783.51,10290,14663,15682,36561,299,49097,59.1,Medium,Increase Resources
98,2016-04-10,2016,4,14,44454,14488,832,3726,7568,318,1091,6346,2234,1678,2.6,6,0.53,0,3.25,12,26.0,8.4,41768786.08,939.6,30282,21211,17871,31675,240,18907,100.0,Critical,Emergency Allocation
99,2016-04-11,2016,4,15,48435,19369,774,2780,6723,760,752,6775,2896,1358,3.23,8,0.71,0,5.0,6,24.81,9.79,30911905.89,638.21,29303,36518,26372,22669,800,56875,85.16,Critical,Emergency Allocation
100,2016-04-12,2016,4,15,36949,14792,980,3540,5141,1378,683,4917,3496,1533,0.64,3,0.55,0,5.0,11,22.9,10.13,31425986.73,850.52,13003,18361,15232,17955,507,16676,100.0,Critical,Emergency Allocation
101,2016-04-13,2016,4,15,43833,16626,1052,1780,7988,577,841,3930,2029,947,2.64,12,0.75,0,5.0,8,26.0,5.9,31447688.09,717.44,16644,21883,21828,12066,189,57275,76.53,High,Peak-Demand Allocation
102,2016-04-14,2016,4,15,51567,22485,1446,4715,9290,1524,974,6492,1765,1861,3.37,5,0.0,0,3.14,5,22.66,9.12,24740740.48,479.78,23907,29217,27123,18882,544,27235,100.0,Critical,Emergency Allocation
103,2016-04-15,2016,4,15,45363,16677,1108,2952,8102,104,805,7271,2415,1794,2.91,8,0.0,0,3.18,13,23.34,11.29,32739072.27,721.71,20001,23561,21421,19360,492,35238,100.0,Critical,Emergency Allocation
104,2016-04-16,2016,4,15,45075,20491,1341,4022,2306,1259,555,5828,2513,2279,1.26,9,0.79,1,3.61,5,26.0,6.86,41551559.7,921.83,30714,37844,7239,25474,330,39091,100.0,Critical,Emergency Allocation
105,2016-04-17,2016,4,15,34920,14626,664,3439,6879,408,1005,4165,2654,1024,2.01,8,0.93,0,3.17,11,26.0,9.4,32455625.32,929.43,21959,19667,22286,19574,378,48801,71.56,High,Peak-Demand Allocation
106,2016-04-18,2016,4,16,43695,17157,444,3617,6190,823,880,3657,3074,976,3.25,11,0.34,0,2.42,14,25.1,11.43,34705093.56,794.26,31063,28227,14406,23530,580,20734,100.0,Critical,Emergency Allocation
107,2016-04-19,2016,4,16,37652,14532,887,2309,2772,965,1179,6091,2877,909,2.42,12,0.01,0,4.27,8,22.49,5.59,28546055.84,758.16,16933,19948,24473,21707,646,16417,100.0,Critical,Emergency Allocation
108,2016-04-20,2016,4,16,43825,16651,1130,2621,4105,789,626,2888,4435,1925,5.0,8,0.13,0,4.45,6,24.84,9.33,33734790.03,769.76,21220,26701,21480,18731,325,50897,86.11,Critical,Emergency Allocation
109,2016-04-21,2016,4,16,53486,20757,1085,2636,7856,797,842,3133,3430,871,3.72,9,0.44,0,3.52,10,24.68,11.01,41074329.47,767.95,27396,45448,28198,30037,489,17002,100.0,Critical,Emergency Allocation
110,2016-04-22,2016,4,16,33434,11748,1227,3280,6742,377,884,5535,2013,1253,2.4,9,0.0,1,2.79,4,22.51,11.43,30460781.71,911.07,16597,16325,25091,32308,338,36346,91.99,Critical,Emergency Allocation
111,2016-04-23,2016,4,16,34788,19290,176,4381,6543,1379,738,7564,3137,796,1.88,7,0.17,2,5.0,7,23.96,11.43,27269691.79,783.88,21548,30442,24552,14744,444,19937,100.0,Critical,Emergency Allocation
112,2016-04-24,2016,4,16,35911,18576,1235,3617,5216,451,577,6925,2433,1455,1.0,5,0.0,0,4.02,11,26.0,11.43,28247201.18,786.59,16149,24249,10591,33064,307,33421,100.0,Critical,Emergency Allocation
113,2016-04-25,2016,4,17,34679,15639,977,2478,8323,449,846,5760,2940,1511,2.88,8,0.69,0,4.27,5,26.0,11.43,24060091.79,693.79,15446,24655,21637,36562,303,52299,66.31,High,Peak-Demand Allocation
114,2016-04-26,2016,4,17,22198,12629,449,3312,4149,844,688,2046,2694,1605,3.72,8,0.57,0,2.84,9,26.0,11.43,16466869.41,741.82,15998,10130,13661,24294,666,28545,77.76,High,Peak-Demand Allocation
115,2016-04-27,2016,4,17,39159,17914,1082,3164,4751,632,787,1483,1125,1377,4.04,6,0.0,0,4.51,5,23.83,11.43,35105634.17,896.49,22310,22440,14840,33674,191,42952,91.17,Critical,Emergency Allocation
116,2016-04-28,2016,4,17,43660,15778,925,2928,5764,1167,789,4896,1910,956,3.07,4,1.5,0,5.0,8,22.51,8.42,42846501.39,981.37,29213,32942,16350,32892,362,24245,100.0,Critical,Emergency Allocation
117,2016-04-29,2016,4,17,39402,18415,982,3207,3576,684,545,7791,2552,1613,0.35,8,0.28,1,3.35,10,26.0,9.5,30379705.58,771.02,18117,21006,15772,18436,178,27816,100.0,Critical,Emergency Allocation
